year,minimum_wage,state,avg_corp_income_tax,progressive_tax,population,avg_unemployment,gdp
2001,5.15,Virginia,6,0,7198.362,3.2833,285663.4
2002,5.15,Virginia,6,0,7286.873,4.3583,294929.1
2003,5.15,Virginia,6,0,7366.977,4.3417,311093.1
2004,5.15,Virginia,6,0,7475.575,4.0833,331815.8
2005,5.15,Virginia,6,0,7577.105,3.825,357427
2006,5.15,Virginia,6,0,7673.725,3.3417,376429.4
2007,5.15,Virginia,6,0,7751.000,3.2833,391595.5
2008,5.85,Virginia,6,0,7833.496,4.275,402157.8
2009,6.55,Virginia,6,0,7925.937,6.8333,409935.3
2010,7.25,Virginia,6,0,8024.004,7.2917,425490.8
2011,7.25,Virginia,6,0,8102.437,6.5417,433683.7
2012,7.25,Virginia,6,0,8187.456,5.95,445008.5
2013,7.25,Virginia,6,0,8255.861,5.55,456911.6
2014,7.25,Virginia,6,0,8315.430,5.1167,465601.7
2015,7.25,Virginia,6,0,8367.303,4.3667,485540.9
2016,7.25,Virginia,6,0,8417.651,4,499032.4
2017,7.25,Virginia,6,0,8471.011,3.6667,515167.2
2018,7.25,Virginia,6,0,8510.920,3.0083,537158.3
2019,7.25,Virginia,6,0,8556.642,2.7583,561701.8
2020,7.25,Virginia,6,0,8637.193,6.4917,565466.8
2021,9.50,Virginia,6,0,8657.348,3.85,615984.7
2022,11.00,Virginia,6,0,8679.099,2.7583,666681.8
2023,12.00,Virginia,6,0,8715.698,2.85,719896.9
1997,5,Vermont,6.875,1,588.665,3.9417,15443.4
1998,5.25,Vermont,8.375,1,590.579,3.4667,16197.7
1999,5.25,Vermont,8.375,1,593.740,3.075,17314.8
2000,5.75,Vermont,8.375,1,609.618,2.8083,18492.9
2001,6.25,Vermont,8.375,1,612.223,3.2917,19467.1
2002,6.25,Vermont,8.375,1,615.442,3.8333,20383.5
2003,6.25,Vermont,8.375,1,617.858,4.3833,21398.5
2004,6.75,Vermont,8.375,1,619.920,3.675,22986.3
2005,7,Vermont,8.375,1,621.215,3.45,23763
2006,7.25,Vermont,8.375,1,622.892,3.7167,24507.1
2007,7.53,Vermont,7.25,1,623.481,3.9417,25025.2
2008,7.68,Vermont,7.25,1,624.151,4.5667,26140.4
2009,8.06,Vermont,6.25,1,624.817,6.1667,26220
2010,8.06,Vermont,7.25,1,625.886,6.3167,27478.3
2011,8.15,Vermont,7.25,1,627.197,5.5667,28558.5
2012,8.46,Vermont,7.25,1,626.361,4.8167,29325.6
2013,8.6,Vermont,7.25,1,626.603,4.4167,29477.6
2014,8.73,Vermont,7.25,1,625.693,3.9917,30359.4
2015,9.15,Vermont,7.25,1,625.810,3.5333,31152.4
2016,9.6,Vermont,6.25,1,624.366,3.125,31840.2
2017,10,Vermont,7.25,1,625.132,3.0083,32589.2
2018,10.5,Vermont,7.25,1,624.802,2.4833,33482.6
2019,10.78,Vermont,7.25,1,624.046,2.0667,34760.3
2020,10.96,Vermont,7.25,1,642.936,5.6583,34414.9
2021,11.75,Vermont,7.25,1,647.093,3.5833,37438.8
2022,12.55,Vermont,7.25,1,647.110,2.325,41011.6
2023,13.18,Vermont,7.25,1,647.464,2.0083,43533.8
1997,4.9,Washington,0,0,5604.105,4.9417,193769.5
1998,4.9,Washington,0,0,5687.832,4.8333,209222.5
1999,4.9,Washington,0,0,5756.361,4.825,229678.9
2000,6.5,Washington,0,0,5910.512,5.0917,237594
2001,6.72,Washington,0,0,5985.722,6.0083,237978.2
2002,6.9,Washington,0,0,6052.349,7.075,245629.8
2003,7.01,Washington,0,0,6104.115,7.2333,254720.2
2004,7.16,Washington,0,0,6178.645,6.3,267423.9
2005,7.35,Washington,0,0,6257.305,5.5917,293402
2006,7.63,Washington,0,0,6370.753,5,314190.8
2007,7.93,Washington,0,0,6461.587,4.6,341712.3
2008,8.07,Washington,0,0,6562.231,5.2917,352460.7
2009,8.55,Washington,0,0,6667.426,8.2667,349945.4
2010,8.55,Washington,0,0,6743.009,9.1333,363544.2
2011,8.67,Washington,0,0,6827.479,8.525,377518.8
2012,9.04,Washington,0,0,6898.599,7.6417,398358.5
2013,9.19,Washington,0,0,6966.252,6.6333,416924.1
2014,9.32,Washington,0,0,7057.531,5.925,439851.2
2015,9.47,Washington,0,0,7167.287,5.4333,467590.6
2016,9.47,Washington,0,0,7299.961,5.225,489790.2
2017,11,Washington,0,0,7427.951,4.6417,527169.4
2018,11.5,Washington,0,0,7526.793,4.425,570337.8
2019,12,Washington,0,0,7614.024,4.1917,608643.4
2020,13.50,Washington,0,0,7724.566,8.5333,620132.9
2021,13.69,Washington,0,0,7741.433,5.2417,687702.3
2022,14.49,Washington,0,0,7784.477,4.0667,742909.5
2023,15.74,Washington,0,0,7812.880,4.075,807864.5
1997,4.75,Wisconsin,7.9,0,5200.235,3.475,153536.2
1998,5.15,Wisconsin,7.9,0,5222.124,3.2833,163021.5
1999,5.15,Wisconsin,7.9,0,5250.446,3.075,172928.5
2000,5.15,Wisconsin,7.9,0,5373.999,3.3917,180883.1
2001,5.15,Wisconsin,7.9,0,5406.835,4.4333,188662.8
2002,5.15,Wisconsin,7.9,0,5445.162,5.325,195541.5
2003,5.15,Wisconsin,7.9,0,5479.203,5.6167,203814
2004,5.15,Wisconsin,7.9,0,5514.026,4.975,216370.4
2005,5.15,Wisconsin,7.9,0,5546.166,4.7417,226937.5
2006,5.7,Wisconsin,7.9,0,5577.655,4.675,237571.9
2007,6.5,Wisconsin,7.9,0,5610.775,4.825,245837.7
2008,6.5,Wisconsin,7.9,0,5640.996,4.9833,246493
2009,6.5,Wisconsin,7.9,0,5669.264,8.9583,246323.8
2010,7.25,Wisconsin,7.9,0,5690.538,8.5,256159.5
2011,7.25,Wisconsin,7.9,0,5705.840,7.5333,265444
2012,7.25,Wisconsin,7.9,0,5720.825,6.925,276253.4
2013,7.25,Wisconsin,7.9,0,5738.012,6.6417,283791.4
2014,7.25,Wisconsin,7.9,0,5753.199,5.35,296169.9
2015,7.25,Wisconsin,7.9,0,5762.927,4.425,308304.5
2016,7.25,Wisconsin,7.9,0,5775.170,3.9083,315420
2017,7.25,Wisconsin,7.9,0,5793.147,3.2583,321886.8
2018,7.25,Wisconsin,7.9,0,5809.319,2.975,335144.3
2019,7.25,Wisconsin,7.9,0,5824.581,3.2083,346906.6
2020,7.25,Wisconsin,7.9,0,5896.700,6.4583,343272.2
2021,7.25,Wisconsin,7.9,0,5879.978,3.8583,368880.4
2022,7.25,Wisconsin,7.9,0,5890.543,2.8917,400621.4
2023,7.25,Wisconsin,7.9,0,5910.955,3.05,428447.1
1997,4.25,West Virginia,9,0,1815.588,6.9833,38781.2
1998,4.75,West Virginia,9,0,1811.688,6.6833,40258.9
1999,4.75,West Virginia,9,0,1806.928,6.45,41942.2
2000,5.15,West Virginia,9,0,1807.021,5.575,42620.7
2001,5.15,West Virginia,9,0,1801.481,5.3917,44105.1
2002,5.15,West Virginia,9,0,1805.414,6.4583,45627.4
2003,5.15,West Virginia,9,0,1812.295,6.5667,47230.4
2004,5.15,West Virginia,9,0,1816.438,5.7667,49865.9
2005,5.15,West Virginia,9,0,1820.492,5.425,53814.3
2006,5.15,West Virginia,9,0,1827.912,5.2,57204.1
2007,5.85,West Virginia,9,0,1834.052,4.825,59480.4
2008,6.55,West Virginia,8.5,0,1840.310,4.75,62978.7
2009,7.25,West Virginia,8.5,0,1847.775,8.3,64040.1
2010,7.25,West Virginia,8.5,0,1854.265,8.6333,66160.4
2011,7.25,West Virginia,8.5,0,1856.606,7.825,69367.6
2012,7.25,West Virginia,7.5,0,1857.446,7.2583,70303.1
2013,7.25,West Virginia,7,0,1854.768,6.7167,71758.6
2014,7.25,West Virginia,6.5,0,1850.569,6.5,73042.6
2015,8,West Virginia,6.5,0,1843.332,6.5833,71713.4
2016,8.75,West Virginia,6.5,0,1832.435,6.0917,71248.9
2017,8.75,West Virginia,6.5,0,1818.683,5.2083,75172.4
2018,8.75,West Virginia,6.5,0,1805.953,5.1667,79794.3
2019,8.75,West Virginia,6.5,0,1795.263,4.925,80242.4
2020,8.75,West Virginia,6.5,0,1791.562,8.2833,77430.9
2021,8.75,West Virginia,9.5,0,1785.249,5.15,86550.5
2022,8.75,West Virginia,6.5,0,1774.035,3.875,98290
2023,8.75,West Virginia,6.5,0,1770.071,3.9083,102151.8
1997,1.6,Wyoming,0,0,480.031,4.7833,14673
1998,1.6,Wyoming,0,0,480.045,4.7917,14833.2
1999,1.6,Wyoming,0,0,479.602,4.7083,15685.7
2000,1.6,Wyoming,0,0,494.300,3.75,17153.7
2001,1.6,Wyoming,0,0,494.657,3.8167,18741.7
2002,5.15,Wyoming,0,0,500.017,4.0083,19160.8
2003,5.15,Wyoming,0,0,503.453,4.325,21199
2004,5.15,Wyoming,0,0,509.106,3.8417,23418.1
2005,5.15,Wyoming,0,0,514.157,3.5417,27530.2
2006,5.15,Wyoming,0,0,522.667,3.0083,32692.2
2007,5.15,Wyoming,0,0,534.876,2.6917,36912.8
2008,5.15,Wyoming,0,0,546.043,2.9333,42694.6
2009,5.15,Wyoming,0,0,559.851,6.2583,36282.2
2010,5.15,Wyoming,0,0,564.531,6.9417,37567.5
2011,5.15,Wyoming,0,0,567.491,6.1333,39615.1
2012,5.15,Wyoming,0,0,576.656,5.5,38679.3
2013,5.15,Wyoming,0,0,582.620,4.7333,39365.6
2014,5.15,Wyoming,0,0,583.159,4.3417,40573.9
2015,5.15,Wyoming,0,0,586.389,4.2083,38624.8
2016,5.15,Wyoming,0,0,585.243,5.3333,36105.9
2017,5.15,Wyoming,0,0,579.994,4.325,37620.3
2018,5.15,Wyoming,0,0,579.054,4.0583,39614.5
2019,7.25,Wyoming,0,0,580.116,3.7083,40029.5
2020,7.25,Wyoming,0,0,577.664,5.8583,36709.6
2021,7.25,Wyoming,0,0,579.548,4.5417,42319.1
2022,7.25,Wyoming,0,0,581.629,3.4167,49782.6
2023,7.25,Wyoming,0,0,584.057,2.9167,51990.5
