year,population,state
2019,887.127,South Dakota
2020,887.852,South Dakota
2021,896.299,South Dakota
2022,909.869,South Dakota
2023,919.318,South Dakota
1997,5378.433,Tennessee
1998,5432.679,Tennessee
1999,5483.535,Tennessee
2000,5703.719,Tennessee
2001,5750.789,Tennessee
2002,5795.918,Tennessee
2003,5847.812,Tennessee
2004,5910.809,Tennessee
2005,5991.057,Tennessee
2006,6088.766,Tennessee
2007,6175.727,Tennessee
2008,6247.411,Tennessee
2009,6306.019,Tennessee
2010,6355.518,Tennessee
2011,6400.298,Tennessee
2012,6455.752,Tennessee
2013,6496.943,Tennessee
2014,6544.617,Tennessee
2015,6595.354,Tennessee
2016,6651.277,Tennessee
2017,6714.748,Tennessee
2018,6778.180,Tennessee
2019,6830.325,Tennessee
2020,6926.091,Tennessee
2021,6963.709,Tennessee
2022,7048.976,Tennessee
2023,7126.489,Tennessee
1997,19355.427,Texas
1998,19712.389,Texas
1999,20044.141,Texas
2000,20944.499,Texas
2001,21319.622,Texas
2002,21690.325,Texas
2003,22030.931,Texas
2004,22394.023,Texas
2005,22778.123,Texas
2006,23359.580,Texas
2007,23831.983,Texas
2008,24309.039,Texas
2009,24801.761,Texas
2010,25241.897,Texas
2011,25645.504,Texas
2012,26084.120,Texas
2013,26479.646,Texas
2014,26963.092,Texas
2015,27468.531,Texas
2016,27914.064,Texas
2017,28291.024,Texas
2018,28624.564,Texas
2019,28986.794,Texas
2020,29234.361,Texas
2021,29561.286,Texas
2022,30029.848,Texas
2023,30503.301,Texas
1997,2065.397,Utah
1998,2100.562,Utah
1999,2129.836,Utah
2000,2244.502,Utah
2001,2283.715,Utah
2002,2324.815,Utah
2003,2360.137,Utah
2004,2401.580,Utah
2005,2457.719,Utah
2006,2525.507,Utah
2007,2597.746,Utah
2008,2663.029,Utah
2009,2723.421,Utah
2010,2775.413,Utah
2011,2814.797,Utah
2012,2854.146,Utah
2013,2898.773,Utah
2014,2938.327,Utah
2015,2983.626,Utah
2016,3044.241,Utah
2017,3103.540,Utah
2018,3155.153,Utah
2019,3203.383,Utah
2020,3283.982,Utah
2021,3339.284,Utah
2022,3381.236,Utah
2023,3417.734,Utah
1997,6732.878,Virginia
1998,6789.225,Virginia
1999,6872.912,Virginia
2000,7105.817,Virginia
2001,7198.362,Virginia
2002,7286.873,Virginia
2003,7366.977,Virginia
2004,7475.575,Virginia
2005,7577.105,Virginia
2006,7673.725,Virginia
2007,7751.000,Virginia
2008,7833.496,Virginia
2009,7925.937,Virginia
2010,8024.004,Virginia
2011,8102.437,Virginia
2012,8187.456,Virginia
2013,8255.861,Virginia
2014,8315.430,Virginia
2015,8367.303,Virginia
2016,8417.651,Virginia
2017,8471.011,Virginia
2018,8510.920,Virginia
2019,8556.642,Virginia
2020,8637.193,Virginia
2021,8657.348,Virginia
2022,8679.099,Virginia
2023,8715.698,Virginia
1997,588.665,Vermont
1998,590.579,Vermont
1999,593.740,Vermont
2000,609.618,Vermont
2001,612.223,Vermont
2002,615.442,Vermont
2003,617.858,Vermont
2004,619.920,Vermont
2005,621.215,Vermont
2006,622.892,Vermont
2007,623.481,Vermont
2008,624.151,Vermont
2009,624.817,Vermont
2010,625.886,Vermont
2011,627.197,Vermont
2012,626.361,Vermont
2013,626.603,Vermont
2014,625.693,Vermont
2015,625.810,Vermont
2016,624.366,Vermont
2017,625.132,Vermont
2018,624.802,Vermont
2019,624.046,Vermont
2020,642.936,Vermont
2021,647.093,Vermont
2022,647.110,Vermont
2023,647.464,Vermont
1997,5604.105,Washington
1998,5687.832,Washington
1999,5756.361,Washington
2000,5910.512,Washington
2001,5985.722,Washington
2002,6052.349,Washington
2003,6104.115,Washington
2004,6178.645,Washington
2005,6257.305,Washington
2006,6370.753,Washington
2007,6461.587,Washington
2008,6562.231,Washington
2009,6667.426,Washington
2010,6743.009,Washington
2011,6827.479,Washington
2012,6898.599,Washington
2013,6966.252,Washington
2014,7057.531,Washington
2015,7167.287,Washington
2016,7299.961,Washington
2017,7427.951,Washington
2018,7526.793,Washington
2019,7614.024,Washington
2020,7724.566,Washington
2021,7741.433,Washington
2022,7784.477,Washington
2023,7812.880,Washington
1997,5200.235,Wisconsin
1998,5222.124,Wisconsin
1999,5250.446,Wisconsin
2000,5373.999,Wisconsin
2001,5406.835,Wisconsin
2002,5445.162,Wisconsin
2003,5479.203,Wisconsin
2004,5514.026,Wisconsin
2005,5546.166,Wisconsin
2006,5577.655,Wisconsin
2007,5610.775,Wisconsin
2008,5640.996,Wisconsin
2009,5669.264,Wisconsin
2010,5690.538,Wisconsin
2011,5705.840,Wisconsin
2012,5720.825,Wisconsin
2013,5738.012,Wisconsin
2014,5753.199,Wisconsin
2015,5762.927,Wisconsin
2016,5775.170,Wisconsin
2017,5793.147,Wisconsin
2018,5809.319,Wisconsin
2019,5824.581,Wisconsin
2020,5896.700,Wisconsin
2021,5879.978,Wisconsin
2022,5890.543,Wisconsin
2023,5910.955,Wisconsin
1997,1815.588,West Virginia
1998,1811.688,West Virginia
1999,1806.928,West Virginia
2000,1807.021,West Virginia
2001,1801.481,West Virginia
2002,1805.414,West Virginia
2003,1812.295,West Virginia
2004,1816.438,West Virginia
2005,1820.492,West Virginia
2006,1827.912,West Virginia
2007,1834.052,West Virginia
2008,1840.310,West Virginia
2009,1847.775,West Virginia
2010,1854.265,West Virginia
2011,1856.606,West Virginia
2012,1857.446,West Virginia
2013,1854.768,West Virginia
2014,1850.569,West Virginia
2015,1843.332,West Virginia
2016,1832.435,West Virginia
2017,1818.683,West Virginia
2018,1805.953,West Virginia
2019,1795.263,West Virginia
2020,1791.562,West Virginia
2021,1785.249,West Virginia
2022,1774.035,West Virginia
2023,1770.071,West Virginia
1997,480.031,Wyoming
1998,480.045,Wyoming
1999,479.602,Wyoming
2000,494.300,Wyoming
2001,494.657,Wyoming
2002,500.017,Wyoming
2003,503.453,Wyoming
2004,509.106,Wyoming
2005,514.157,Wyoming
2006,522.667,Wyoming
2007,534.876,Wyoming
2008,546.043,Wyoming
2009,559.851,Wyoming
2010,564.531,Wyoming
2011,567.491,Wyoming
2012,576.656,Wyoming
2013,582.620,Wyoming
2014,583.159,Wyoming
2015,586.389,Wyoming
2016,585.243,Wyoming
2017,579.994,Wyoming
2018,579.054,Wyoming
2019,580.116,Wyoming
2020,577.664,Wyoming
2021,579.548,Wyoming
2022,581.629,Wyoming
2023,584.057,Wyoming
