GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "39000","Ohio",3,SAGDP2N,18,"333","    Machinery manufacturing ","Millions of current dollars",6880.6,7739.2,6961.5,6779.5,6281.5,5731.5,5878.7,6231.8,7024.9,6865.3,7253.8,7161.5,5866.5,6253.6,7381.8,7515.5,8712.5,8610.0,8487.9,8495.2,9088.6,8559.8,8731.5,8084.9,8784.6,9658.8,11169.2
 "39000","Ohio",3,SAGDP2N,19,"334","    Computer and electronic product manufacturing ","Millions of current dollars",2970.1,3789.8,3154.2,3494.6,2787.2,2060.9,2137.9,2623.0,3233.6,3136.0,3152.8,3322.6,2040.9,2163.8,2266.4,2557.8,2546.1,2512.0,2162.3,1994.2,2095.5,2450.6,2302.5,2120.4,2076.4,2023.8,1710.3
 "39000","Ohio",3,SAGDP2N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Millions of current dollars",4291.8,3418.7,4184.2,4354.4,3931.3,3898.7,4813.9,4091.3,4217.0,4148.9,4005.9,4480.4,3892.1,3715.5,3577.7,3975.5,3949.6,3851.5,4575.2,4316.1,4389.4,4364.7,4592.2,4322.3,4990.4,5284.7,5738.3
 "39000","Ohio",3,SAGDP2N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Millions of current dollars",15075.0,17865.1,17495.3,17952.7,15509.7,17438.3,17114.2,18977.4,17837.4,17490.1,14839.7,10045.5,3981.3,6825.6,9015.6,10657.5,10057.3,11899.4,12198.2,12297.8,11522.6,11611.1,11917.4,9558.7,9170.7,10885.4,12034.1
 "39000","Ohio",3,SAGDP2N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Millions of current dollars",2672.5,2913.8,3290.3,3833.4,3899.2,3722.0,3673.8,3918.9,4353.4,4597.7,5481.5,5053.9,5051.7,4604.2,5037.1,4377.3,4803.1,5400.2,5896.0,6880.9,8285.5,6374.8,6163.9,5469.3,5251.7,5555.5,6017.8
 "39000","Ohio",3,SAGDP2N,23,"337","    Furniture and related product manufacturing ","Millions of current dollars",1271.9,1361.1,1435.1,1488.7,1415.8,1523.6,1487.9,1454.9,1609.4,1525.0,1523.9,1151.3,921.2,786.2,866.7,801.3,822.2,935.3,1016.6,1072.8,1036.5,1091.3,1057.9,1078.4,1098.4,1159.5,1173.1
 "39000","Ohio",3,SAGDP2N,24,"339","    Miscellaneous manufacturing ","Millions of current dollars",2172.1,2058.3,1960.2,1955.4,1854.1,2053.1,1862.1,1951.6,1898.4,2007.8,1927.7,1969.3,2011.2,1982.9,1912.0,2032.4,1950.4,2102.0,2114.2,2132.4,2281.6,2363.7,2292.6,2414.4,2544.9,2696.1,2896.6
 "39000","Ohio",3,SAGDP2N,25,"311-316,322-326","   Nondurable goods manufacturing ","Millions of current dollars",26535.1,27302.4,28300.1,27384.4,28404.8,29678.1,29781.7,30099.6,29889.8,31790.9,32475.0,30276.6,36630.0,37158.5,41221.5,39756.2,40548.1,46807.6,43883.7,42608.8,43277.7,48700.5,46998.3,44329.7,56127.6,65671.9,65412.7
 "39000","Ohio",3,SAGDP2N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Millions of current dollars",6506.2,6282.2,6925.5,6493.6,7681.4,8035.1,7571.7,7768.4,7268.4,8163.3,8446.5,8159.1,9853.5,9345.9,8872.1,9590.9,10788.2,11769.4,12156.3,12103.5,12398.9,11662.8,11186.5,12295.7,12504.6,11942.5,13511.8
 "39000","Ohio",3,SAGDP2N,27,"313-314","    Textile mills and textile product mills ","Millions of current dollars",376.7,412.0,526.1,502.0,464.0,423.6,325.0,357.6,334.1,330.5,390.0,357.4,295.0,355.8,349.0,318.2,381.5,384.5,371.4,325.8,335.8,363.5,392.9,331.6,346.7,352.0,359.5
 "39000","Ohio",3,SAGDP2N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Millions of current dollars",243.4,189.8,155.6,159.4,184.1,180.8,199.3,188.2,195.8,168.5,202.4,204.5,172.4,140.2,134.7,116.1,139.0,141.3,139.5,166.8,140.6,180.3,189.6,233.3,307.0,367.8,377.8
 "39000","Ohio",3,SAGDP2N,29,"322","    Paper manufacturing ","Millions of current dollars",2635.9,2527.5,2730.1,2593.9,2456.2,2586.1,2254.1,2352.6,2290.1,2573.2,2531.7,2108.8,2194.7,2150.8,2134.5,1886.1,1920.5,2150.1,2190.1,2164.8,2105.1,2269.8,2530.6,2551.0,2551.0,2822.7,3016.7
 "39000","Ohio",3,SAGDP2N,30,"323","    Printing and related support activities ","Millions of current dollars",1963.4,1987.2,2156.7,2173.1,2139.2,2292.7,2400.8,2462.7,2557.3,2606.9,2519.6,2180.7,2040.4,1898.8,1853.2,1825.6,1797.9,1889.7,1995.4,2105.7,2015.2,1912.3,1911.0,1553.2,1783.4,1860.1,1910.2
 "39000","Ohio",3,SAGDP2N,31,"324","    Petroleum and coal products manufacturing ","Millions of current dollars",1203.5,1752.8,1286.1,2032.9,2281.1,1719.1,2143.7,2492.4,3791.8,4177.3,3240.2,2468.2,5887.3,6640.6,9950.0,7635.6,9136.7,12830.8,7010.5,3702.1,4808.3,6960.5,6620.4,2445.1,9565.5,16746.7,15396.6
 "39000","Ohio",3,SAGDP2N,32,"325","    Chemical manufacturing ","Millions of current dollars",7955.5,8202.0,8219.4,7477.0,7943.1,8813.5,9355.0,9058.3,8082.1,8612.6,9967.1,10581.7,11517.9,11966.3,12889.9,12914.8,10920.2,12375.9,14093.2,16246.2,15819.4,19045.6,17757.2,18450.1,23008.6,25008.4,24086.7
 "39000","Ohio",3,SAGDP2N,33,"326","    Plastics and rubber products manufacturing ","Millions of current dollars",5650.5,5948.9,6300.6,5952.5,5255.8,5627.3,5532.1,5419.5,5370.1,5158.7,5177.5,4216.2,4668.8,4660.1,5038.1,5469.0,5464.1,5265.9,5927.4,5793.8,5654.3,6305.6,6410.0,6469.7,6060.8,6571.7,6753.4
 "39000","Ohio",3,SAGDP2N,34,"42","  Wholesale trade ","Millions of current dollars",21386.8,22297.1,22788.7,23301.9,23089.9,22963.2,23762.6,25411.0,27220.7,29384.8,30730.7,31829.0,29544.7,31188.5,32251.3,33987.8,35764.1,37731.1,39314.4,39395.0,40823.2,42002.9,44240.1,44615.4,48309.9,53684.9,55066.9
 "39000","Ohio",3,SAGDP2N,35,"44-45","  Retail trade ","Millions of current dollars",24665.5,26822.7,27283.5,28351.8,29023.0,29564.4,31343.7,31669.4,32139.4,30916.0,30818.6,30008.7,29662.6,30330.2,31470.1,32262.1,34486.3,35977.6,38260.2,39528.2,41380.4,41208.9,42756.6,45443.1,51714.7,53570.0,58627.5
 "39000","Ohio",3,SAGDP2N,36,"48-49","  Transportation and warehousing ","Millions of current dollars",9201.8,10065.6,10564.2,11283.1,11217.5,11266.4,11809.0,12865.6,14187.5,15320.1,15412.2,15822.6,14345.2,14611.7,15594.9,15743.8,16221.1,17473.1,20450.2,20410.3,21206.1,22843.2,24250.2,24432.2,27614.8,29941.9,29785.2
 "39000","Ohio",3,SAGDP2N,37,"481","   Air transportation ","Millions of current dollars",767.7,821.2,910.1,1002.6,836.7,1079.8,1167.1,1316.8,1434.8,1458.0,1819.3,1677.2,1574.9,1565.7,1714.2,1714.9,1793.5,1875.2,2155.8,2207.8,2302.2,2299.7,2491.5,1722.0,2300.0,2795.7,3047.3
 "39000","Ohio",3,SAGDP2N,38,"482","   Rail transportation ","Millions of current dollars",779.4,859.8,877.1,902.4,908.1,809.6,870.6,924.2,1005.4,1132.2,1114.1,1250.8,1072.8,1143.7,1253.2,1389.5,1431.8,1560.7,1617.0,1436.0,1492.6,1547.4,1515.6,1368.1,1452.1,1690.8,1728.2
 "39000","Ohio",3,SAGDP2N,39,"483","   Water transportation ","Millions of current dollars",209.6,212.9,205.6,254.2,224.9,178.3,181.9,132.4,131.0,160.1,134.7,149.6,114.5,116.5,101.8,91.5,116.7,112.0,115.0,110.9,115.6,143.7,152.2,138.4,144.4,142.9,129.3
 "39000","Ohio",3,SAGDP2N,40,"484","   Truck transportation ","Millions of current dollars",4096.8,4519.3,4813.1,4975.8,4913.1,5038.6,5173.5,5534.1,5909.6,6208.7,6127.9,5995.6,5256.8,5484.6,5865.5,6167.8,6351.0,7021.2,7740.1,7947.5,8604.2,9032.6,9258.3,9300.8,10706.1,11778.8,11613.0
 "39000","Ohio",3,SAGDP2N,41,"485","   Transit and ground passenger transportation ","Millions of current dollars",231.2,248.5,279.6,289.3,288.5,306.9,334.5,358.1,363.2,390.4,402.0,425.8,450.9,461.4,522.4,552.9,561.4,580.4,627.0,610.4,629.9,615.8,630.3,463.9,555.3,561.1,665.2
 "39000","Ohio",3,SAGDP2N,42,"486","   Pipeline transportation ","Millions of current dollars",114.0,146.3,148.5,125.3,240.3,188.6,175.5,133.2,145.9,144.3,155.8,284.8,378.4,571.7,802.3,440.7,394.1,565.6,1733.7,1392.0,1089.1,1159.4,1299.6,1382.0,949.9,1051.4,1012.2
 "39000","Ohio",3,SAGDP2N,43,"487-488,492","   Other transportation and support activities ","Millions of current dollars",2148.2,2266.1,2322.3,2615.1,2756.1,2593.7,2653.2,2879.5,3222.9,3523.5,3243.6,3485.1,3072.4,2811.3,2912.3,2884.5,3052.0,3281.5,3872.3,3965.8,4232.2,4632.1,5253.5,5870.1,6362.3,6530.2,6181.9
 "39000","Ohio",3,SAGDP2N,44,"493","   Warehousing and storage ","Millions of current dollars",855.0,991.5,1007.8,1118.3,1049.9,1070.8,1252.8,1587.4,1974.7,2302.9,2414.6,2553.8,2424.6,2456.8,2423.1,2502.1,2520.6,2476.5,2589.2,2740.0,2740.3,3412.6,3649.3,4186.9,5144.6,5391.1,5408.2
 "39000","Ohio",3,SAGDP2N,45,"51","  Information ","Millions of current dollars",11184.0,11585.7,11817.0,11057.6,11704.1,13370.1,13750.3,13850.7,14142.7,13631.1,14370.7,15120.0,15904.5,17449.9,18082.4,17374.0,18244.0,16598.9,16549.6,16479.5,16839.9,16658.3,17950.3,17333.1,18703.9,18974.0,20189.9
 "39000","Ohio",3,SAGDP2N,46,"511","   Publishing industries (except Internet) ","Millions of current dollars",2722.5,2794.1,3473.0,2693.5,2747.8,3464.3,3776.2,4361.9,4532.3,3982.9,4546.7,4708.2,4596.8,4886.3,4986.8,4923.7,5085.2,4868.0,4931.3,5024.3,4998.3,4921.3,5058.4,5067.3,5630.7,5498.5,6095.0
 "39000","Ohio",3,SAGDP2N,47,"512","   Motion picture and sound recording industries ","Millions of current dollars",345.5,390.2,474.2,399.4,348.6,386.3,449.2,465.5,311.5,330.4,377.4,388.2,419.6,380.8,366.5,380.6,394.4,462.8,480.9,491.9,497.2,474.5,481.3,272.8,543.3,563.2,703.8
 "39000","Ohio",3,SAGDP2N,48,"515,517","   Broadcasting (except Internet) and telecommunications ","Millions of current dollars",7062.5,7227.3,7006.7,7382.0,7390.0,7644.9,7535.1,6918.3,7339.0,7237.5,7972.6,8134.9,8954.7,9997.2,10285.8,9737.4,10129.7,8640.9,8572.6,8308.1,8683.3,8624.6,9220.9,8770.0,8834.4,8397.4,8377.9
 "39000","Ohio",3,SAGDP2N,49,"518-519","   Data processing, hosting, and other information services ","Millions of current dollars",1053.4,1174.2,863.1,582.8,1217.7,1874.6,1989.8,2105.0,1959.9,2080.4,1474.0,1888.7,1933.3,2185.6,2443.3,2332.2,2634.7,2627.1,2564.7,2655.2,2661.2,2637.9,3189.7,3223.0,3695.6,4514.9,5013.2
 "39000","Ohio",3,SAGDP2N,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Millions of current dollars",55313.4,58276.0,63822.4,69059.1,73924.3,79270.5,82678.5,86336.5,96528.4,98016.1,101959.3,101926.8,100549.4,99730.2,101289.1,106028.8,111165.8,120068.3,126542.4,131810.1,138907.4,144234.0,158652.5,159299.3,171359.4,187417.2,200694.8
